company_name,company_type,delivery_setting,address,city,state,zip,phone,email,website_url,description,year_founded,employee_count_estimate,revenue_estimate,funding_status,rank_score,positive_signals,exclude_flags,status,verified,notes
"Mission Medical Associates, Inc",psychiatry,multi_setting,900 Hendersonville Rd,Asheville,NC,28803,828-213-8235,,,"Mission Medical Associates, Inc is a geriatric behavioral health practice serving seniors in Asheville, NC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Elizabeth C. Grueneberger,psychiatry,multi_setting,519 Live Oak Dr,Mount Pleasant,SC,29464,843-971-8808,,,"Elizabeth C. Grueneberger is a geriatric behavioral health practice serving seniors in Mount Pleasant, SC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Erin Seery Llc,psychiatry,multi_setting,25 Main Street,Stockbridge,SC,01262,413-931-5831,,,"Erin Seery Llc is a geriatric behavioral health practice serving seniors in Stockbridge, SC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Fort Mill Senior Wellness Llc,psychiatry,multi_setting,331 E Main St Ste 200,Rock Hill,SC,29730,704-438-0687,,,"Fort Mill Senior Wellness Llc is a geriatric behavioral health practice serving seniors in Rock Hill, SC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Palmetto Specialty Long Term Care,psychiatry,multi_setting,2315 Gadsden St,Columbia,SC,29201,803-260-1019,,,"Palmetto Specialty Long Term Care is a geriatric behavioral health practice serving seniors in Columbia, SC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Solis Medical Group Ca Pc,psychiatry,multi_setting,341 Evian Way,Mt Pleasant,SC,29464,833-869-1532,,,"Solis Medical Group Ca Pc is a geriatric behavioral health practice serving seniors in Mt Pleasant, SC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Threehorn Ltd. Co.,psychiatry,multi_setting,109 N. Earle St.,Walhalla,SC,29691,864-249-7800,,,"Threehorn Ltd. Co. is a geriatric behavioral health practice serving seniors in Walhalla, SC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Braddock Center For Behavioral Medicine,psychiatry,multi_setting,200 Medical Arts Bldg,Kittanning,PA,16201,724-543-1043,,,"Braddock Center For Behavioral Medicine is a geriatric behavioral health practice serving seniors in Kittanning, PA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Choudhry B.M. And Associates, Llc",psychiatry,multi_setting,420 S Jackson St,Pottsville,PA,17901,570-621-5500,,,"Choudhry B.M. And Associates, Llc is a geriatric behavioral health practice serving seniors in Pottsville, PA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Fayette Specialty Associates,psychiatry,multi_setting,211 Easy St,Uniontown,PA,15401,724-425-8332,,,"Fayette Specialty Associates is a geriatric behavioral health practice serving seniors in Uniontown, PA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Levy Psychiatric Associates Llc,psychiatry,multi_setting,8001 Roosevelt Blvd Suite 100,Philadelphia,PA,19152,215-333-7560,,,"Levy Psychiatric Associates Llc is a geriatric behavioral health practice serving seniors in Philadelphia, PA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Medical Psychiatric Associates Of Delaware Valley,psychiatry,multi_setting,4641 Roosevelt Blvd,Philadelphia,PA,19124,215-831-7932,,,"Medical Psychiatric Associates Of Delaware Valley is a geriatric behavioral health practice serving seniors in Philadelphia, PA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Amg Health, Inc.",psychiatry,multi_setting,8945 Longbrook Dr,Macedonia,OH,44056,216-276-5628,,,"Amg Health, Inc. is a geriatric behavioral health practice serving seniors in Macedonia, OH.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Drs Rivera Inc,psychiatry,multi_setting,4460 Red Bank Rd,Cincinnati,OH,45227,513-297-4070,,,"Drs Rivera Inc is a geriatric behavioral health practice serving seniors in Cincinnati, OH.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Geriatric Practice Llc,psychiatry,multi_setting,839 Cherry St,Blanchester,OH,45107,513-432-8735,,,"Geriatric Practice Llc is a geriatric behavioral health practice serving seniors in Blanchester, OH.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Geropsych Psychiatry, Ltd",psychiatry,multi_setting,151 Orchardview Rd Ste 2B,Seven Hills,OH,44131,844-779-2433,,,"Geropsych Psychiatry, Ltd is a geriatric behavioral health practice serving seniors in Seven Hills, OH.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Hni Psych Services Of Florida, Llc",psychiatry,multi_setting,13881 Eagle Ridge Dr,Fort Myers,OH,33912,239-561-7700,,,"Hni Psych Services Of Florida, Llc is a geriatric behavioral health practice serving seniors in Fort Myers, OH.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Marguerite M Blythe,psychiatry,multi_setting,4903 Vine St,Cincinnati,OH,45217,513-421-2900,,,"Marguerite M Blythe is a geriatric behavioral health practice serving seniors in Cincinnati, OH.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Baddigam Family Psychiatric Associates Pllc,psychiatry,multi_setting,43211 Dalcoma Dr,Clinton Township,MI,48038,586-263-6812,,,"Baddigam Family Psychiatric Associates Pllc is a geriatric behavioral health practice serving seniors in Clinton Township, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Bcs Of Illinois, S.C.",psychiatry,multi_setting,1 Westbrook Corporate Ctr,Westchester,MI,60154,877-906-9699,,,"Bcs Of Illinois, S.C. is a geriatric behavioral health practice serving seniors in Westchester, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Commerce Township Psychiatry,Pllc",psychiatry,multi_setting,6021 Carroll Lake Rd,Commerce Township,MI,48382,248-225-7232,,,"Commerce Township Psychiatry,Pllc is a geriatric behavioral health practice serving seniors in Commerce Township, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Continuum Psychiatric Services Llp,psychiatry,multi_setting,111 Trealout Dr,Fenton,MI,48430,810-629-7538,,,"Continuum Psychiatric Services Llp is a geriatric behavioral health practice serving seniors in Fenton, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Continuum Psychiatric Services, Llp",psychiatry,multi_setting,28275 Five Mile Rd,Livonia,MI,48154,734-402-0254,,,"Continuum Psychiatric Services, Llp is a geriatric behavioral health practice serving seniors in Livonia, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Geropsych Group Llc,psychiatry,multi_setting,32270 Telegraph Rd Ste 240,Bingham Farms,MI,48025,248-593-1717,,,"Geropsych Group Llc is a geriatric behavioral health practice serving seniors in Bingham Farms, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Geropsych-At-Home,psychiatry,multi_setting,1267 Lone Pine Rd,Bloomfield Hills,MI,48302,248-661-7393,,,"Geropsych-At-Home is a geriatric behavioral health practice serving seniors in Bloomfield Hills, MI.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Arora Associates Llc,psychiatry,multi_setting,4305 Lone Tree Ct,Naperville,IL,60564,630-241-1495,,,"Arora Associates Llc is a geriatric behavioral health practice serving seniors in Naperville, IL.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Geriatric Care Associates,psychiatry,multi_setting,540 Oakmont Ln,Westmont,IL,60559,630-321-1115,,,"Geriatric Care Associates is a geriatric behavioral health practice serving seniors in Westmont, IL.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Health Hub, Llc",psychiatry,multi_setting,1909 Ogden Ave,Downers Grove,IL,60515,630-750-7920,,,"Health Hub, Llc is a geriatric behavioral health practice serving seniors in Downers Grove, IL.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Amg-Hillside, Llc",psychiatry,multi_setting,1265 E College St,Pulaski,TN,38478,931-363-7531,,,"Amg-Hillside, Llc is a geriatric behavioral health practice serving seniors in Pulaski, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Elderberry Psychiatric Consulting,psychiatry,multi_setting,327 Caldwell Dr Ste 500,Goodlettsville,TN,37072,615-239-1404,,,"Elderberry Psychiatric Consulting is a geriatric behavioral health practice serving seniors in Goodlettsville, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Expertus Recovery Inc,psychiatry,multi_setting,2718 Squirrel Hollow Dr,Linden,TN,37096,931-589-8901,,,"Expertus Recovery Inc is a geriatric behavioral health practice serving seniors in Linden, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Geriatric Essentials, Pc",psychiatry,multi_setting,402 W Farthing St,Mayfield,TN,42066,731-571-8808,,,"Geriatric Essentials, Pc is a geriatric behavioral health practice serving seniors in Mayfield, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Medditelecare Of Tennessee Pllc,psychiatry,multi_setting,2908 Poston Ave,Nashville,TN,37203,860-788-6404,,,"Medditelecare Of Tennessee Pllc is a geriatric behavioral health practice serving seniors in Nashville, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
New Perspectives Psychiatry Pllc,psychiatry,multi_setting,3549 Norriswood Ave,Memphis,TN,38111,901-325-7820,,,"New Perspectives Psychiatry Pllc is a geriatric behavioral health practice serving seniors in Memphis, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Southern Psychiatric Services,psychiatry,multi_setting,216 North Cross Street,Oneida,TN,37841,423-663-7350,,,"Southern Psychiatric Services is a geriatric behavioral health practice serving seniors in Oneida, TN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Ascension Medical Llc,psychiatry,multi_setting,9590 E Ironwood Sq Suite 210,Scottsdale,AZ,85258,480-668-3485,,,"Ascension Medical Llc is a geriatric behavioral health practice serving seniors in Scottsdale, AZ.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Caritas Health Associates Llc,psychiatry,multi_setting,2525 N 8Th St Ste 108,Grand Junction,AZ,81501,303-808-5566,,,"Caritas Health Associates Llc is a geriatric behavioral health practice serving seniors in Grand Junction, AZ.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Crossroad Clinics Plc,psychiatry,multi_setting,12359 Sunrise Valley Dr Ste 320,Reston,VA,20191,703-596-4796,,,"Crossroad Clinics Plc is a geriatric behavioral health practice serving seniors in Reston, VA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Dc Psychiatry Llc,psychiatry,multi_setting,1800 Town Center Dr Ste 420,Reston,VA,20190,703-869-5361,,,"Dc Psychiatry Llc is a geriatric behavioral health practice serving seniors in Reston, VA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Premier Psychiatry Inc,psychiatry,multi_setting,11166 Fairfax Blvd Ste 401,Fairfax,VA,22030,703-505-1251,,,"Premier Psychiatry Inc is a geriatric behavioral health practice serving seniors in Fairfax, VA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Collective Co Llc,psychiatry,multi_setting,400 S Colorado Blvd Ste 530,Glendale,CO,80246,720-262-2644,,,"Collective Co Llc is a geriatric behavioral health practice serving seniors in Glendale, CO.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Cr Dygert & Co,psychiatry,multi_setting,1550 S Potomac St,Aurora,CO,80012,720-998-5034,,,"Cr Dygert & Co is a geriatric behavioral health practice serving seniors in Aurora, CO.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Geropsych, Pc",psychiatry,multi_setting,1601 Constitution Rd,Pueblo,CO,81001,719-562-7200,,,"Geropsych, Pc is a geriatric behavioral health practice serving seniors in Pueblo, CO.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Indiana Geriatric Associates, P.C.",psychiatry,multi_setting,38 Twinshore Ct,Carmel,IN,46033,317-566-9904,,,"Indiana Geriatric Associates, P.C. is a geriatric behavioral health practice serving seniors in Carmel, IN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,flagged_for_review,No,
"Professional Development Associates, Llc",psychiatry,multi_setting,1776 Summerlakes Ct,Carmel,IN,46032,888-822-9732,,,"Professional Development Associates, Llc is a geriatric behavioral health practice serving seniors in Carmel, IN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
S4 Specialty Consultants Llc,psychiatry,multi_setting,900 N High School Rd,Indianapolis,IN,46214,615-478-3720,,,"S4 Specialty Consultants Llc is a geriatric behavioral health practice serving seniors in Indianapolis, IN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
South Central General And Geriatric Psychiatry Pc,psychiatry,multi_setting,8651 Jaffa Court East Dr Apt 11,Indianapolis,IN,46260,317-414-7372,,,"South Central General And Geriatric Psychiatry Pc is a geriatric behavioral health practice serving seniors in Indianapolis, IN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Ten Broeck Tennessee Physicians Group Inc,psychiatry,multi_setting,819 N 1St St,Dennison,IN,44621,740-922-7415,,,"Ten Broeck Tennessee Physicians Group Inc is a geriatric behavioral health practice serving seniors in Dennison, IN.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
